Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV F1 Mean,CV F1 Std,True Negative,False Positive,False Negative,True Positive,Status
Logistic Regression,0.7381,0.5043,0.7834,0.6136,0.8413,0.6279,0.0232,747,288,81,293,Success
Decision Tree,0.7303,0.4949,0.7727,0.6033,0.7999,0.5869,0.0182,740,295,85,289,Success
Random Forest,0.7608,0.5356,0.7433,0.6226,0.8369,0.6293,0.0145,794,241,96,278,Success
Extra Trees,0.7559,0.5302,0.7032,0.6046,0.8266,0.6206,0.0142,802,233,111,263,Success
Gradient Boosting,0.8062,0.6747,0.5214,0.5882,0.8437,0.5833,0.0235,941,94,179,195,Success
HistGradient Boosting,0.802,0.6578,0.5294,0.5867,0.8415,0.5901,0.0233,932,103,176,198,Success
